dataset,scenario,alpha,method,seed,ACC,RMA,BWTR,MPE,DRR,DRR_kind,synthetic_DRR_proxy,client_auxiliary_peak_MiB,cuda_allocated_peak_GiB,local_training_seconds,boundary_seconds
pathmnist,distribution,0.3,FedAvg,2025,65.99416854014596,0.9908169206813744,-0.4085879209687465,0.0,0.0,unique_real_source_images,,0.0,4.6767425537109375,14538.724635777995,0.14383369591087103
pathmnist,distribution,0.3,Fed-GPM,2025,71.96601833988461,0.9979628290505583,-0.32983213288617763,0.0,0.004853209525904216,unique_real_source_images,,817.8233489990234,4.729165554046631,14585.042193046655,391.5981422830373
pathmnist,distribution,0.3,FedSubMerge,2025,75.76732148728001,1.0016513815188692,-0.28178305481134364,0.0,0.11685278874216826,unique_real_source_images,,3.49456787109375,4.806077480316162,15084.594447393902,98.74292568396777
pathmnist,distribution,0.3,FedSubMerge-AD,2025,78.9334345303517,0.9886357747299361,-0.2287977879707388,0.0,0.11685278874216826,unique_real_source_images,,3.1314430236816406,4.806060314178467,15023.88077871513,132.50929990399163
pathmnist,distribution,0.3,FOT,2025,51.11869603920033,0.9996212730476203,-0.612665974808154,0.0,1.0,unique_real_source_images,,3164.6155548095703,4.6767449378967285,9257.30573927809,145.19502792996354
pathmnist,distribution,0.3,Fed-DER,2025,91.28015883914384,0.973353496831305,-0.0488503570266306,0.0,0.07490129234623523,unique_real_source_images,,480.087890625,4.735077381134033,19037.246542197652,0
pathmnist,distribution,0.3,TARGET,2025,66.8944954290881,0.834014625165025,-0.22134315541671695,0.0,,synthetic_teacher_label_attribution,0.50828253389614,,5.608580589294434,24755.869232065394,4395.636908686021
pathmnist,distribution,0.1,FedAvg,2025,58.576362348416,1.0180259227175583,-0.4798382055966977,0.0,0.0,unique_real_source_images,,0.0,4.6767425537109375,14443.924789990997,0.12425388023257256
pathmnist,distribution,0.1,Fed-GPM,2025,69.56061148589656,1.0139452638718338,-0.30408719601339,0.0,0.003921258764280813,unique_real_source_images,,563.7935638427734,4.713505268096924,22982.375194151187,332.34274783707224
pathmnist,distribution,0.1,FedSubMerge,2025,54.70182719919116,1.01656711815526,-0.5302307475607857,0.0,0.09560207387571606,unique_real_source_images,,2.5467681884765625,4.8057990074157715,22984.772952420404,122.54415464191698
pathmnist,distribution,0.1,FedSubMerge-AD,2025,60.12503081766803,1.0282113515489255,-0.4624537790479817,0.0,0.09560207387571606,unique_real_source_images,,1.7841796875,4.8057990074157715,22993.447344641434,134.1433215441648
hyperkvasir,distribution,0.3,FedAvg,2025,64.05672409860661,0.9361500960151808,-0.24553646931315842,0.0,0.0,unique_real_source_images,,0.0,18.39944076538086,3691.352087612846,0.04669211304280907
hyperkvasir,distribution,0.3,Fed-GPM,2025,70.06856275634387,0.9867503319712885,-0.18515895247334657,0.0,0.23926996184035762,unique_real_source_images,,445.2090606689453,18.419607639312744,3759.553553625243,1265.441427399055
hyperkvasir,distribution,0.3,FedSubMerge,2025,71.19117777105173,0.9981768060855464,-0.19968667571281706,0.0,0.9476978062786175,unique_real_source_images,,5.541648864746094,18.52767562866211,3832.5884138931287,101.23039796401281
hyperkvasir,distribution,0.3,FedSubMerge-AD,2025,69.61536490437354,0.9888360123473944,-0.20792138457425322,0.0,0.9476978062786175,unique_real_source_images,,5.494300842285156,18.52767562866211,3789.603813433554,111.64271836995613
hyperkvasir,distribution,0.3,FOT,2025,62.96907243385365,0.9976455707809773,-0.29121017061415183,0.0,1.0,unique_real_source_images,,805.7541656494141,18.39944553375244,3663.839964695857,58.2370971608907
hyperkvasir,distribution,0.3,Fed-DER,2025,72.27252995619367,0.8762681227074478,-0.07881161839802757,0.0,0.44731301290501335,unique_real_source_images,,1470.1953125,18.491227626800537,10433.587091856287,0
hyperkvasir,distribution,0.3,TARGET,2025,66.73448357429953,0.8768615833912398,-0.11355830303901367,0.0,,synthetic_teacher_label_attribution,6.283383465499955,,21.58930015563965,10452.971042881603,29991.304169062874
hyperkvasir,distribution,0.1,FedAvg,2025,73.65501711336556,0.9609846650044933,-0.09672264839982049,0.0,0.0,unique_real_source_images,,0.0,18.39944076538086,3696.8126106730197,0.0626165836583823
hyperkvasir,distribution,0.1,Fed-GPM,2025,64.64276490935697,0.9293938277656796,-0.1522997484816328,0.0,0.17348638461775825,unique_real_source_images,,300.53600311279297,18.416048526763916,3754.089609863935,929.5957446510438
hyperkvasir,distribution,0.1,FedSubMerge,2025,69.53516259559883,0.9405194811162846,-0.10577208004901417,0.0,0.8637502540819186,unique_real_source_images,,1.6280746459960938,18.52666473388672,3744.207877399167,88.55061803129502
hyperkvasir,distribution,0.1,FedSubMerge-AD,2025,68.28634086926091,0.9484657091563792,-0.13383781814539475,0.0,0.8637502540819186,unique_real_source_images,,1.8992195129394531,18.52666473388672,3806.0624546492472,101.12712306319736
hyperkvasir,quantity,,FedAvg,2025,36.22989689047547,1.006253934828524,-0.6000380540297581,0.0,0.0,unique_real_source_images,,0.0,18.39944076538086,3565.794684892753,0.04238498001359403
hyperkvasir,quantity,,Fed-GPM,2025,49.26359339890074,1.0566017170304907,-0.4412060181934169,0.0,0.08675009037450288,unique_real_source_images,,248.90763092041016,18.408870220184326,3600.481115559349,583.1264175563119
hyperkvasir,quantity,,FedSubMerge,2025,42.01679099216431,1.0512701425670834,-0.5403135226036562,0.0,1.0,unique_real_source_images,,3.0989456176757812,18.4845871925354,3626.7858662330545,92.52860476821661
hyperkvasir,quantity,,FedSubMerge-AD,2025,41.243330638305956,1.055869193738305,-0.5509712971030106,0.0,1.0,unique_real_source_images,,2.9939346313476562,18.4845871925354,3670.300238122698,97.34840183588676
skin,feature,,FedAvg,2025,74.95639287973255,1.00342707257223,-0.22999680204669004,0.0,0.0,unique_real_source_images,,0.0,18.39938735961914,9001.326563456096,0.0384702798910439
skin,feature,,Fed-GPM,2025,79.34936297099485,0.9973496785005191,-0.14394818076008298,0.0,0.009567925251212594,unique_real_source_images,,56.700531005859375,18.413153171539307,9014.466284530004,98.21586345788091
skin,feature,,FedSubMerge,2025,78.56535646516672,0.9959223821407104,-0.1624281860468856,0.0,0.24854076432855043,unique_real_source_images,,6.10833740234375,18.527645587921143,9024.35644053761,28.52068538288586
skin,feature,,FedSubMerge-AD,2025,76.28549742477635,1.0048543689320388,-0.20836633520073466,0.0,0.24854076432855043,unique_real_source_images,,5.465152740478516,18.527628421783447,9044.817825644976,30.96658110897988
